node,domain,avg_cf,cv,Early_Phase,First_Wave,Second_Wave,Omicron,Post_Omicron,label
6,EMO,0.255589,0.140075,0.296296,0.262411,0.215267,0.281746,0.222222,Backbone
46,STR,0.219774,0.792404,0.511111,0.196217,0.183206,0.166667,0.041667,Liaison
39,STR,0.218170,0.255931,0.259259,0.262411,0.126718,0.206349,0.236111,
16,EMO,0.175572,0.659884,0.044444,0.144208,0.341985,0.111111,0.236111,
3,SPF,0.168886,0.897853,0.029630,0.063830,0.175573,0.158730,0.416667,
25,SPF,0.151353,0.533705,0.237037,0.229314,0.146565,0.067460,0.076389,
26,CSF,0.145141,0.846828,0.007407,0.186761,0.070229,0.329365,0.131944,
0,EMO,0.142691,1.684463,0.570370,0.030733,0.068702,0.043651,0.000000,
38,STR,0.139047,0.480238,0.214815,0.137116,0.158779,0.031746,0.152778,
43,STR,0.124235,0.915369,0.014815,0.160757,0.300763,0.103175,0.041667,
28,STR,0.120497,0.369549,0.051852,0.120567,0.137405,0.174603,0.118056,
35,STR,0.116381,0.447794,0.081481,0.191489,0.074809,0.150794,0.083333,
10,EMO,0.113094,0.780352,0.059259,0.212766,0.070229,0.202381,0.020833,
23,CSF,0.111822,1.125724,0.037037,0.028369,0.123664,0.043651,0.326389,
22,CSF,0.103225,0.765255,0.088889,0.049645,0.239695,0.047619,0.090278,
42,STR,0.099530,1.222038,0.066667,0.044917,0.006107,0.067460,0.312500,
18,SPF,0.095620,0.806418,0.059259,0.101655,0.106870,0.210317,0.000000,
13,CSF,0.095434,0.714021,0.051852,0.212766,0.068702,0.095238,0.048611,
21,SPF,0.086866,0.551195,0.125926,0.021277,0.134351,0.055556,0.097222,
37,EMO,0.083116,0.842720,0.037037,0.193853,0.045802,0.111111,0.027778,
41,STR,0.080083,0.592087,0.125926,0.026005,0.038168,0.126984,0.083333,
17,CSF,0.077544,0.855422,0.022222,0.096927,0.087023,0.007937,0.173611,
33,STR,0.074264,0.634876,0.103704,0.141844,0.030534,0.039683,0.055556,
32,STR,0.073820,0.616109,0.044444,0.014184,0.096183,0.130952,0.083333,
15,CSF,0.070560,0.453336,0.096296,0.111111,0.061069,0.035714,0.048611,
27,STR,0.069001,0.638721,0.029630,0.049645,0.033588,0.107143,0.125000,
1,SPF,0.066131,0.813754,0.022222,0.054374,0.042748,0.051587,0.159722,
30,EMO,0.066020,0.602348,0.007407,0.070922,0.050382,0.111111,0.090278,
31,STR,0.059880,0.726361,0.022222,0.011820,0.058015,0.103175,0.104167,
7,CSF,0.056321,0.683109,0.037037,0.035461,0.030534,0.123016,0.055556,
5,SPF,0.056065,0.949578,0.148148,0.011820,0.032061,0.039683,0.048611,
45,STR,0.053947,0.634902,0.081481,0.033097,0.035115,0.099206,0.020833,
8,CSF,0.043451,0.551733,0.014815,0.056738,0.073282,0.023810,0.048611,
12,CSF,0.037809,0.912548,0.000000,0.014184,0.088550,0.051587,0.034722,
36,STR,0.036169,0.757973,0.014815,0.066194,0.064122,0.007937,0.027778,
20,SPF,0.034676,1.089008,0.096296,0.009456,0.045802,0.007937,0.013889,
29,STR,0.031302,0.495012,0.014815,0.035461,0.022901,0.055556,0.027778,
34,STR,0.031211,0.789512,0.037037,0.047281,0.012214,0.059524,0.000000,
24,SPF,0.029663,0.588399,0.044444,0.011820,0.050382,0.027778,0.013889,
44,STR,0.029125,0.775667,0.014815,0.009456,0.051908,0.055556,0.013889,
14,CSF,0.027159,1.397692,0.029630,0.092199,0.003053,0.003968,0.006944,
11,SPF,0.025910,1.096864,0.074074,0.011820,0.019847,0.023810,0.000000,
9,CSF,0.025216,0.926392,0.000000,0.009456,0.061069,0.027778,0.027778,
19,EMO,0.023912,0.992357,0.000000,0.040189,0.019847,0.003968,0.055556,
4,EMO,0.021625,1.017736,0.014815,0.049645,0.039695,0.003968,0.000000,
40,STR,0.017812,0.746665,0.022222,0.028369,0.030534,0.007937,0.000000,
2,CSF,0.015283,1.025553,0.037037,0.009456,0.025954,0.003968,0.000000,
