From,To,AMCS
EMO,EMO,0.6935579196217494
EMO,SPF,0.3096926713947987
EMO,CSF,0.2631387525004564
EMO,PHY,0.3648542159180465
EMO,STR,0.3469614796273121
SPF,EMO,0.1306146572104018
SPF,SPF,0.2907801418439716
SPF,CSF,0.1269321694853606
SPF,PHY,0.2013396375098504
SPF,STR,0.0723126129884576
CSF,EMO,0.25
CSF,SPF,0.3680063041765168
CSF,CSF,0.7725040916530296
CSF,PHY,0.3849487785658
CSF,STR,0.0963704630788487
PHY,EMO,0.0602836879432624
PHY,SPF,0.1741528762805358
PHY,CSF,0.0874704491725767
PHY,PHY,0.1808510638297872
PHY,STR,0.0673063551661798
STR,EMO,0.3838652482269503
STR,SPF,0.2167060677698975
STR,CSF,0.1696672122204039
STR,PHY,0.4542947202521669
STR,STR,0.8656654151022085
